studyID,studyUUID,studyName,siteID,custodianID,custodianName,pipelineID,data,standardFormat
SFL-1,40ebd527-c3ad-4495-8725-3618dd0b5a5e,NA,SFL,UNRLS,University of Natural Resources and Life Sciences,NA,TRUE,FALSE
SKG-1,fd10f663-628e-4e87-b25e-b93f9a9b9f88,NA,SKG,DCFO,Dutch Centre for Field Ornithology,NA,FALSE,NA
SIL-1,15872a9a-ad10-46d0-a37e-3abd503ee290,NA,SIL,ICL,Imperial College London,NA,TRUE,FALSE
STR-1,e61137fb-89f3-4f75-9d3f-a466db148e26,NA,STR,IPHC,Institut Pluridisciplinaire Hubert Curien,NA,TRUE,FALSE
ROB-1,6f0900ae-1978-4e63-8588-f0368ee83945,NA,ROB,IPHC,Institut Pluridisciplinaire Hubert Curien,NA,TRUE,FALSE
WAN-1,4bceec60-7d0c-4e7f-a0ad-f61513d1ab5d,NA,WAN,IPHC,Institut Pluridisciplinaire Hubert Curien,NA,TRUE,FALSE
TOM-1,2bff61fd-7c54-425c-b929-c8d8c31c1d74,NA,TOM,HOK,Hokkaido University,NA,TRUE,FALSE
VAL-1,af60001c-b44e-4c06-a4fe-4909dd67a983,NA,VAL,NMNSM,"National Museum of Natural Sciences, Madrid",NA,TRUE,FALSE
VOM-1,37b18a71-59cc-4c48-8bae-41d49b9c602e,NA,VOM,LND,Lund University,NA,TRUE,FALSE
VOS-1,7dc74c73-4f0c-455d-a5ef-b209c2d0029b,NA,VOS,RUG,University of Groningen,NA,TRUE,FALSE
WRS-1,0d95d847-05b1-4e18-90dc-bc0409db7860,NA,WRS,WRS,"Wild Urban Evolution & Ecology Lab, University of Warsaw",NA,TRUE,FALSE
BAS-1,e57fb765-8870-4fb5-8dac-1522c54a8f0f,NA,BAS,IAR,Institute of Avian Research,NA,TRUE,FALSE
WHZ-1,fa1d9e72-35b1-4b41-8ec5-42d8e888cca8,NA,WHZ,MPIO,Max Planck Institute for Ornithology,NA,TRUE,FALSE
WIL-1,28cf3e84-b957-4f6a-99b6-9edee2cb96b3,NA,WIL,BEEA,"Behavioural Ecology and Ecophysiology Group, University of Antwerp",NA,TRUE,FALSE
ZVE-1,87582c0d-0b15-4cec-98e1-e1ed3757217c,NA,ZVE,LMS,Lomonosov Moscow State University,NA,FALSE,NA
GOT-1,dab9ede3-8f6a-4d62-9d06-d7e665c0f95f,NA,GOT,JAG,Jagiellonian University,NA,FALSE,NA
GOT-2,25b5ea8a-b306-4d59-afcc-ac9caf88c7b7,NA,GOT,LBBE,Laboratory of Biometry and Evolutionary Biology CNRS,NA,FALSE,NA
DIN-1,04a11366-8307-47cf-8c0e-745cc6d41a5f,NA,DIN,PFN,PiedFly.Net,PFN,TRUE,TRUE
KAT-1,9d8a2622-7156-47f5-afb8-b0b890f15cfe,NA,KAT,PFN,PiedFly.Net,PFN,TRUE,TRUE
NAG-1,511cf35d-e051-4080-a288-854a6b639f22,NA,NAG,PFN,PiedFly.Net,PFN,TRUE,TRUE
OKE-1,b75c0ca9-103f-4fcd-9230-1bef408540ec,NA,OKE,PFN,PiedFly.Net,PFN,TRUE,TRUE
TEI-1,437f52c3-f8a8-468a-a88d-dd049de98211,NA,TEI,PFN,PiedFly.Net,PFN,TRUE,TRUE
STO-1,0e65db5e-5a33-439f-b2d5-572eaa0539c9,NA,STO,OSPAS,"Ornithological Station, Museum and Institute of Zoology, Polish Academy of Sciences",NA,FALSE,NA
SOB-1,39f9573d-ebd2-4533-8a78-69efc1099a6f,NA,SOB,OSPAS,"Ornithological Station, Museum and Institute of Zoology, Polish Academy of Sciences",NA,FALSE,NA
BIR-1,e25c0367-1604-4b6b-a516-de3153ec499e,NA,BIR,NIS,Ian Nisbet,NA,TRUE,FALSE
RAM-1,60a81405-43ab-422d-b34c-5a1dbaffd6e8,NA,RAM,NIS,Ian Nisbet,NA,TRUE,FALSE
NMI-1,39498730-8ab9-4610-b36e-9c1c319d99fb,NA,NMI,NIS,Ian Nisbet,NA,TRUE,FALSE
GOU-1,e304e177-c62b-4a84-8ada-eaec524b535e,NA,GOU,RSPB,RSPB,NA,TRUE,FALSE
ARV-1,1bae69bb-61b0-4d88-b9df-188625660cfe,NA,ARV,KON,University of Konstanz,NA,FALSE,NA
MIR-1,5facca87-9bae-419d-8218-e58dc0318120,NA,MIR,NMNSM,"National Museum of Natural Sciences, Madrid",NA,TRUE,FALSE
KEI-1,c89506bc-87b6-4c0a-b527-56c266bd1481,NA,KEI,BOW,Bowdoin Scientific Station,NA,FALSE,NA
SEK-1,262e962d-d4cc-4f5a-980c-6bb89cc34ddf,NA,SEK,MIZPAS,"Museum and Institute of Zoology, Polish Academy of Sciences",NA,TRUE,FALSE
HSF-1,118196ae-36a5-4cf1-9f9c-6658bc79d6f7,NA,HSF,UFC,Universite de Franche Comte,NA,FALSE,NA
BAG-1,ab40e793-1b37-4c36-9ba3-10f05a00dffe,NA,BAG,BAG,Bagley Wood,NA,FALSE,NA
GTM-1,791c5bb1-4458-4672-a3d0-7a6ff7ae5439,NA,GTM,GTM,Greater Manchester,NA,FALSE,NA
UPP-1,1f2117db-2d6a-4387-beaf-8214a255ef27,NA,UPP,SLU,"Department of Ecology, SLU Swedish University of Agricultural Sciences",NA,FALSE,NA
ZER-1,2c68136a-e6cb-4d4b-b0ba-c8fef309c936,NA,ZER,SZCZ,University of Szczecin,NA,TRUE,FALSE
